"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
202,"National","Portugal","EEZ","Marine","All","Contemporary only","Priority places","None","Marxan*","Multiple",12,"Costs","Boundary","yes","no","Timonet D.S., Abecasis D.","An integrated approach for the design of a marine protected area network applied to mainland Portugal",2020,"Ocean and Coastal Management","10.1016/j.ocecoaman.2019.105014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074171965&doi=10.1016%2fj.ocecoaman.2019.105014&partnerID=40&md5=30935d78a343be84854b0fa57a37f2d2","Conservation; Marine protected areas; Marxan; MinPatch; Systematic conservation planning","Conservation; Ecosystems; Environmental protection; Fisheries; Marine biology; Multivariant analysis; Offshore oil well production; Implementation process; Integrated approach; Marine protected area; Marxan; MinPatch; Multi variate analysis; Offshore aquaculture; Systematic conservation planning; Natural resources management; conservation management; conservation planning; design method; integrated approach; marine park; protected area; seagrass meadow; stakeholder; Portugal","Article","Scopus",5,0
203,"Local","France","Montpellier","Terrestrial","All","Contemporary only","Priority places","case study","Zonation","Species",317,"Multi-objective/criteria","None","no","no","Bigard C., Thiriet P., Pioch S., Thompson J.D.","Strategic landscape-scale planning to improve mitigation hierarchy implementation: An empirical case study in Mediterranean France",2020,"Land Use Policy","10.1016/j.landusepol.2019.104286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073718547&doi=10.1016%2fj.landusepol.2019.104286&partnerID=40&md5=0658a5c7ea84de79fdc79f69f01d2332","Conservation science; Land-use planning; Mitigation hierarchy; No net loss; Strategic environmental assessment","biodiversity; conservation management; empirical analysis; environmental policy; landscape planning; planning process; strategic approach; strategic environmental assessment; urban development; France; Mediterranean Region","Article","Scopus",16,0
204,"Local","Finland","Kainuu","Terrestrial",NA,"Contemporary only","Synergies/Tradeoffs","case study","GIS overlay/ Ranking / Clustering","Multiple",NA,"None","None","yes","yes","Tolvanen A., Kangas K., Tarvainen O., Huhta E., Jäkäläniemi A., Kyttä M., Nikula A., Nivala V., Tuulentie S., Tyrväinen L.","The relationship between people's activities and values with the protection level and biodiversity",2020,"Tourism Management","10.1016/j.tourman.2020.104141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084467453&doi=10.1016%2fj.tourman.2020.104141&partnerID=40&md5=e3db3ccee35047fa06e6b8dac5af1659","Conflicts; Factor analysis of mixed data; Land use planning; Nature protection; Public participation GIS; Reconciliation; Tourist resort","biodiversity; cultural heritage; ecotourism; GIS; land use; preference behavior; recreational activity; Finland","Article","Scopus",12,0
205,"Local","Finland","Central","Terrestrial","Wetlands","Contemporary only","Priority places","governmental commission","Zonation","Multiple",91,"None","None","no","yes","Kareksela S., Aapala K., Alanen A., Haapalehto T., Kotiaho J.S., Lehtomäki J., Leikola N., Mikkonen N., Moilanen A., Nieminen E., Tuominen S., Virkkala R.","Combining spatial prioritization and expert knowledge facilitates effectiveness of large-scale mire protection process in Finland",2020,"Biological Conservation","10.1016/j.biocon.2019.108324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078812918&doi=10.1016%2fj.biocon.2019.108324&partnerID=40&md5=b61a4b0ca0e2938e5d02af1c5ca1a85e","Expert knowledge; Implementation; Mires; Restoration prioritization; Spatial prioritization; Trade-offs","conservation management; conservation planning; mire; prioritization; quantitative analysis; resource allocation; restoration ecology; trade-off; wetland management; Finland","Article","Scopus",5,2
206,"Regional","Spain, Portugal",NA,"Terrestrial",NA,"Both","Representation","case study","Integer programming","Species",10,"Constrains","Functional","yes","no","Alagador, D., & Cerdeira, J. O.","Revisiting the minimum set cover, the maximal coverage problems and a maximum benefit area selection problem to make climate-change-concerned conservation plans effective",2020,"Methods in Ecology and Evolution","10.1111/2041-210X.13455","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13455","climate change, connectivity, conservation plan, conservation targets, decision support, optimization, persistence, reserve design",NA,"Article","Manual",6,0
207,"Local","Spain","Western mediterranean sea","Marine","All","Contemporary only","Priority places","None","Marxan*","Species",5,"Costs","None","yes","no","Giménez, J., Cardador, L., Mazor, T., Kark, S., Bellido, J. M., Coll, M., & Navarro, J.","Marine protected areas for demersal elasmobranchs in highly exploited Mediterranean ecosystems",2020,"Marine Environmental Research","10.1016/j.marenvres.2020.105033",NA,NA,NA,"Article","Manual",11,3
208,"Local","Finland","Helsinki","Terrestrial","Urban","Contemporary only","Priority places","Case study","Zonation","Other",10,"None","Structural","no","yes","Jalkanen, J., Vierikko, K., & Moilanen, A. (","Spatial prioritization for urban Biodiversity Quality using biotope maps and expert opinion.",2020,"Urban Forestry & Urban Greening","10.1016/j.ufug.2020.126586",NA,NA,NA,"Article","Manual",17,0
209,"Local","Finland","Helsinki","Terrestrial","Urban","Contemporary only","Representation","None","Zonation","Ecosys. Services / NCP",1,"None","Structural","no","no","Jalkanen, J., Fabritius, H., Vierikko, K., Moilanen, A., & Toivonen, T.","Analyzing fair access to urban green areas using multimodal accessibility measures and spatial prioritization",2020,"Applied Geography","10.1016/j.apgeog.2020.102320",NA,NA,NA,"Article","Manual",19,2
210,"Local","Switzerland","Vaud","Terrestrial","All","Contemporary only","Multiple","None","Zonation","Multiple",787,"Multi-objective/criteria","None","no","no","Ramel, C., Rey, P. L., Fernandes, R., Vincent, C., Cardoso, A. R., Broennimann, O., ... & Guisan, A.","Integrating ecosystem services within spatial biodiversity conservation prioritization in the Alps",2020,"Ecosystem services","10.1016/j.ecoser.2020.101186",NA,NA,NA,"Article","Manual",26,0
211,"Local","Switzerland","Geneva","Terrestrial","Urban","Contemporary only","Representation","EU Biodiversity Strategy","Zonation","Multiple",NA,"None","None","no","no","Honeck E, Moilanen A, Guinaudeau B, Wyler N, Schlaepfer MA, Martin P, Sanguet A, Urbina L, von Arx B, Massy J, Fischer C, Lehmann A.","Implementing Green Infrastructure for the Spatial Planning of Peri-Urban Areas in Geneva, Switzerland",2020,"Sustainability","10.3390/su12041387",NA,NA,NA,"Article","Manual",19,0
212,"Local","Norway","Mandalselva River","Freshwater","River","Contemporary only","Management action","Case study","Other","Multiple",3,"Multi-objective/criteria","Multiple","yes","yes","Barton D.N.; Sundt H.; Bustos A.A.; Fjeldstad H.-P.; Hedger R.; Forseth T.; Berit Kohler; Aas Ø.; Alfredsen K.; Madsen A.L.","Multi-criteria decision analysis in Bayesian networks - Diagnosing ecosystem service trade-offs in a hydropower regulated river",2020,"Environmental Modelling and Software","10.1016/j.envsoft.2019.104604",NA,NA,NA,"Article","Manual",22,0
213,"National","Spain","Andalucía, Castilla y León","Cross-realm","all","Contemporary only","Priority places","Birds and Habitats diective, Sub-national policy proposals","GIS overlay","Multiple",NA,"None","Structural","no","no","Rincón V., Velázquez J., Gutiérrez J., Hernando A., Khoroshev A., Gómez I., Herráez F., Sánchez B., Pablo Luque J., García-abril A., Santamaría T., Sánchez-Mata D.","Proposal of new Natura 2000 network boundaries in Spain based on the value of importance for biodiversity and connectivity analysis for its improvement",2021,"Ecological Indicators","10.1016/j.ecolind.2021.108024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111236569&doi=10.1016%2fj.ecolind.2021.108024&partnerID=40&md5=c9f804219ddcad3c5128ab8cfaac7c01","Connectivity; Conservation; MSPA; Natura 2000; PC Index","Conservation; 4-level; Biodiversity analysis; Connectivity; Connectivity analysis; MSPA; Natura 2000; Natura 2000 networks; Natural areas; Network boundaries; PC-index; Biodiversity; biodiversity; conservation management; conservation planning; habitat conservation; zoning; zoning system; Spain","Article","Scopus",8,0
214,"Local","Romania","Lower Danube","Freshwater","all","Contemporary only","Synergies/Tradeoffs","Case study","NA","NA",NA,"None","None","no","yes","Coletta V.R., Pagano A., Pluchinotta I., Fratino U., Scrieciu A., Nanu F., Giordano R.","Causal Loop Diagrams for supporting Nature Based Solutions participatory design and performance assessment",2021,"Journal of Environmental Management","10.1016/j.jenvman.2020.111668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097132937&doi=10.1016%2fj.jenvman.2020.111668&partnerID=40&md5=065a026b59c2f2e8bb755164a913bf5a","Co-benefits assessment; Nature Based Solutions co-design; Participatory modelling; System thinking; Water-related risks","water; agricultural production; biodiversity; comparative study; decision making; design method; diagram; fuzzy mathematics; local government; participatory approach; performance assessment; water pollution; agriculture; Article; biodiversity; climate change; ecosystem; environmental management; environmental policy; feedback system; human; participatory research; performance; qualitative analysis; renaturation; river; Romania; wetland; acclimatization; agriculture; climate change; stakeholder engagement; Romania; Acclimatization; Agriculture; Climate Change; Romania; Stakeholder Participation","Article","Scopus",21,0
215,"Europe","Europe",NA,"Cross-realm","all","Contemporary only","Representation","none","GIS overlay/ Ranking / Clustering","Ecosys. Services / NCP",16,"None","None","no","no","Palliwoda J., Fischer J., Felipe-Lucia M.R., Palomo I., Neugarten R., Büermann A., Price M.F., Torralba M., Eigenbrod F., Mitchell M.G.E., Beckmann M., Seppelt R., Schröter M.","Ecosystem service coproduction across the zones of biosphere reserves in Europe",2021,"Ecosystems and People","10.1080/26395916.2021.1968501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114477739&doi=10.1080%2f26395916.2021.1968501&partnerID=40&md5=ae04b80eb8d6727d5d7573e687feb48a","capitals; co-production; conservation; Nature’s contributions to people; Nynke Schulp; protected areas; UNESCO Man and Biosphere Programme; zonation","anthropogenic effect; biodiversity; biosphere; buffer zone; crop production; ecosystem function; ecosystem service; environmental indicator; European Union; nature reserve; service provision; sustainable development; Europe","Article","Scopus",3,0
216,"Europe","Europe","Atlantic and Mediterranean basins","Marine","all","Both","Priority places","CBD post 2020 global biodiversity framework","Integer programming","Species",13,"Costs","Boundary","yes","no","Combes M., Vaz S., Grehan A., Morato T., Arnaud-Haond S., Dominguez-Carrió C., Fox A., González-Irusta J.M., Johnson D., Callery O., Davies A., Fauconnet L., Kenchington E., Orejas C., Roberts J.M., Taranto G., Menot L.","Systematic Conservation Planning at an Ocean Basin Scale: Identifying a Viable Network of Deep-Sea Protected Areas in the North Atlantic and the Mediterranean",2021,"Frontiers in Marine Science","10.3389/fmars.2021.611358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110293666&doi=10.3389%2ffmars.2021.611358&partnerID=40&md5=f31aa1131de7e4300301b14b422c6783","biodiversity conservation; connectivity; high seas; marine protected areas; marine spatial planning; open ocean; spatial prioritization; vulnerable marine ecosystems",NA,"Article","Scopus",9,0
217,"Local","Portugal",NA,"Terrestrial","all","Contemporary only","Priority places","Eu Biodiversity Strategy","Marxan*","Species",133,"None","Boundary","no","yes","Vaz A.S., Amorim F., Pereira P., Antunes S., Rebelo H., Oliveira N.G.","Integrating conservation targets and ecosystem services in landscape spatial planning from Portugal",2021,"Landscape and Urban Planning","10.1016/j.landurbplan.2021.104213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112483925&doi=10.1016%2fj.landurbplan.2021.104213&partnerID=40&md5=c20e04577e661c2eb790874c128d6e3b","Ecosystem services matrix approach; Land cover proxies; Marxan; Policyscape; Spatial prioritisation; Stakeholders’ participation","biodiversity; conservation; ecosystem service; European Union; literature review; model validation; participatory approach; software; stakeholder; Portugal","Article","Scopus",8,0
217,"Local","Portugal",NA,"Terrestrial","all","Contemporary only","Priority places","Eu Biodiversity Strategy","Marxan*","Species",133,"None","Boundary","no","yes","Vaz A.S., Amorim F., Pereira P., Antunes S., Rebelo H., Oliveira N.G.","Integrating conservation targets and ecosystem services in landscape spatial planning from Portugal",2021,"Landscape and Urban Planning","10.1016/j.landurbplan.2021.104213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112483925&doi=10.1016%2fj.landurbplan.2021.104213&partnerID=40&md5=c20e04577e661c2eb790874c128d6e3b","Ecosystem services matrix approach; Land cover proxies; Marxan; Policyscape; Spatial prioritisation; Stakeholders’ participation","biodiversity; conservation; ecosystem service; European Union; literature review; model validation; participatory approach; software; stakeholder; Portugal","Article","Scopus",8,0
218,"Regional","Mediterranean",NA,"Marine","all","Contemporary only","Representation","none","GIS overlay/ Ranking / Clustering","Ecosystems",60,"None","None","no","no","Giménez J., Venegas-Li R., Mazor T., Kark S., Levin N.","Inequitable protection of multidimensional biogeochemical regions in the Mediterranean Sea",2021,"Ocean and Coastal Management","10.1016/j.ocecoaman.2021.105747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107436197&doi=10.1016%2fj.ocecoaman.2021.105747&partnerID=40&md5=90f61b83e0fdfc92bb1830afeb5213ca","3D; Bioregionalization; Gap analysis; Marine conservation; Marine planning","Biodiversity; Biogeochemistry; Complex networks; Decision making; Environmental protection; 3d; Biogeochemicals; Bioregionalization; Gap analysis; Marine conservations; Marine planning; Marine systems; Mediterranean sea; Protected areas; Subbasins; Conservation; biodiversity; biogeochemistry; coastal protection; conservation management; conservation planning; marine ecosystem; protected area; Ionian Sea; Mediterranean Sea; Tyrrhenian Sea","Article","Scopus",0,0
219,"Local","Spain","Catalonia","Terrestrial","all","Both","Priority places","EU Biodiversity Strategy 2030, Common Agricultural Policy (CAP)","Marxan*","Species",78,"None","Boundary","no","no","Lanzas M., Hermoso V., Morán-Ordoñez A., Regos A., Bota G., Brotons L.","The value of unprotected land for future conservation efforts under dynamic conditions",2021,"Biological Conservation","10.1016/j.biocon.2021.109232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110184042&doi=10.1016%2fj.biocon.2021.109232&partnerID=40&md5=2e1988b376958ae86431aa1d94383309","Biodiversity strategy; Climate change; Common agricultural policy; Dynamic landscapes; Early successional species; Systematic planning","biodiversity; Common Agricultural Policy; conservation management; European Union; future prospect; landscape change; prioritization; protected area; Catalonia; Spain","Article","Scopus",3,0
220,"Local","Italy","Emilia-Romagna","Marine","all","Contemporary only","Priority places","Maritime Spatial Planning (MSP) Directive","Marxan*","Multiple",33,"Multi-objective/criteria","None","no","no","Venier C., Menegon S., Possingham H.P., Gissi E., Zanella A., Depellegrin D., Sarretta A., Barbanti A., McGowan J.","Multi-objective zoning for aquaculture and biodiversity",2021,"Science of the Total Environment","10.1016/j.scitotenv.2021.146997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104924158&doi=10.1016%2fj.scitotenv.2021.146997&partnerID=40&md5=56e401f9270b261dce0e36d647502b15","Biodiversity conservation; Maritime spatial planning; Marxan and Marxan with zones; Multi-objective zoning; Sustainable aquaculture development; Value of information","Aquaculture; Biodiversity; Ecosystems; Efficiency; Environmental protection; Function evaluation; Investments; Planning; Zoning; Biodiversity conservation; Fine-scale; Food production; Maritime spatial planning; Marxan and marxan with zone; Multi objective; Multi-objective zoning; Production industries; Sustainable aquaculture development; Value of information; Conservation; anthropogenic effect; aquaculture; biodiversity; conservation planning; food production; habitat conservation; human activity; marine environment; scenario analysis; spatial planning; sustainable development; zoning system; article; bivalve; commercial species; conservation biology; European Union; habitat; human; human impact (environment); intermethod comparison; investment; Italy; nonhuman; shellfish farming; aquaculture; biodiversity; ecosystem; environmental protection; Bivalvia; Emilia; Aquaculture; Biodiversity; Conservation of Natural Resources; Ecosystem; Humans; Italy","Article","Scopus",8,1
221,"Local","Spain","Alboran Sea","Marine","all","Contemporary only","Priority places","Case study","Marxan*","Species",2,"Costs","Boundary","yes","no","Giménez J., Cañadas A., de Stephanis R., Ramírez F.","Expanding protected areas to encompass the conservation of the endangered common dolphin (Delphinus delphis) in the Alboran Sea",2021,"Marine Environmental Research","10.1016/j.marenvres.2021.105305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103101056&doi=10.1016%2fj.marenvres.2021.105305&partnerID=40&md5=04225a984f06fef56fe16d22ad8413cc","Marine mammals; Protected areas; Protected species; Special areas of conservation","Decision making; Dolphins (structures); Economic and social effects; Ecosystems; Environmental protection; Fisheries; Mammals; Offshore oil well production; 'current; Alboran sea; Common dolphins Delphinus delphis; European union; Marine mammals; Natura 2000 networks; Protected areas; Protected species; Special area of conservation; Strait of Gibraltar; Conservation; conservation management; conservation planning; environmental protection; European Union; habitat management; marine park; protected area; article; Delphinus delphis; fishery; Gibraltar; habitat; Mediterranean Sea; nonhuman; seashore; Tursiops truncatus; animal; bottlenose dolphin; Delphinus; Alboran Sea; Mediterranean Sea; Strait of Gibraltar; Cetacea; Delphinus delphis; Mammalia; Tursiops truncatus; Animals; Bottle-Nosed Dolphin; Common Dolphins; Fisheries; Gibraltar; Mediterranean Sea","Article","Scopus",3,0
222,"Regional","Austria, Czechia, Germany, Hungary, Poland, Slovakia",NA,"Terrestrial","all","Contemporary only","Representation","EU Biodiversity Strategy 2030, Habitats directive, Bird directive","GIS overlay/ Ranking / Clustering","Ecosys. Services / NCP",16,"None","None","no","no","Fňukalová E., Zýka V., Romportl D.","The network of green infrastructure based on ecosystem services supply in central europe",2021,"Land","10.3390/land10060592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108218792&doi=10.3390%2fland10060592&partnerID=40&md5=9ede4afe24e2b45700c258ebc648c9e7","Central Europe; Connectivity analysis; Ecological network; Ecosystem services; Green infrastructure; Natura 2000",NA,"Article","Scopus",10,0
223,"Local","Germany","Baden-Württemberg","Terrestrial","Forest","Contemporary only","Management action","none","Integer programming","Ecosystems",7,"Multi-objective/criteria","Structural","no","no","Augustynczik A.L.D.","Habitat amount and connectivity in forest planning models: Consequences for profitability and compensation schemes",2021,"Journal of Environmental Management","10.1016/j.jenvman.2021.111982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099861653&doi=10.1016%2fj.jenvman.2021.111982&partnerID=40&md5=26d4c703c97b5d00b3d1aaf3bc0b5049","Forest biodiversity; Forest economics; Forest planning; Semidefinite programming","biodiversity; biogeography; connectivity; conservation planning; hypothesis testing; numerical model; optimization; article; biodiversity; compensation; cost; economics; Europe; forest; habitat selection; nonhuman; sensitivity analysis; target organism; biodiversity; ecosystem; environmental protection; Biodiversity; Conservation of Natural Resources; Ecosystem; Europe; Forests","Article","Scopus",2,0
224,"Local","Poland","Łapanów","Terrestrial","All","Contemporary only","Representation","none","GIS overlay/ Ranking / Clustering","Ecosystems",1,"None","Structural","no","no","Rafał B., Hanna H.-G., Alicja H.-N.","Green infrastructure—countering ecosystem fragmentation: Case study of a municipality in the carpathian foothills",2021,"Forests","10.3390/f12010078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099781954&doi=10.3390%2ff12010078&partnerID=40&md5=a886b02a0bfc79dfc05274b2fb92cb75","Ecosystem; Edge effect; Fragmentation; Green infrastructure; Spatial planning","Planning; Sustainable development; Conflict areas; Green infrastructure; Model analysis; Natural environments; Precision studies; Proper solutions; Spatial structure; Surface area; Rural areas; ecosystem management; edge effect; fragmentation; spatial planning; sustainable development; Area; Development; Edges; Fragmentation; Planning; Polish; Quality; Structures; Carpathians; Poland [Central Europe]","Article","Scopus",2,0
225,"National","Greece",NA,"Terrestrial","All","Contemporary only","Representation","None","GIS overlay/ Ranking / Clustering","Species",424,"None","None","no","no","Spiliopoulou K., Dimitrakopoulos P.G., Brooks T.M., Kelaidi G., Paragamian K., Kati V., Oikonomou A., Vavylis D., Trigas P., Lymberakis P., Darwall W., Stoumboudi M.T., Triantis K.A.","The Natura 2000 network and the ranges of threatened species in Greece",2021,"Biodiversity and Conservation","10.1007/s10531-021-02125-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101434564&doi=10.1007%2fs10531-021-02125-7&partnerID=40&md5=e87f10325002248fc96225efbc63e7b9","Greece; IUCN red list; Natura 2000; Protected areas; Threatened species","biodiversity; bird; conservation management; endangered species; environmental planning; European Union; protected area; Red List; Aegean Islands; Crete [Greece]; Greece; Peloponnese","Article","Scopus",13,0
226,"National","Cyprus",NA,"Terrestrial","All","Contemporary only","Priority places","Habitats Directive, Birds Directive","Marxan*","Species",252,"Costs","Boundary","yes","no","Christodoulou C.S., Griffiths G.H., Vogiatzakis I.N.","Systematic Conservation Planning in a Mediterranean island context: The example of Cyprus",2021,"Global Ecology and Conservation","10.1016/j.gecco.2021.e01907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120331138&doi=10.1016%2fj.gecco.2021.e01907&partnerID=40&md5=f5493e8c064f46fcde86ee515da9f6cd","Effectiveness; Endangered species; Irreplaceability; Marxan; Natura 2000","NA","Article","Scopus",3,0
227,"Local","France","Brittany, Normandy and Pays-de-la-Loire","Terrestrial","All","Both","Priority places","None","Zonation","Species",10,"None","None","yes","no","Dupont-Doaré C., Alagador D.","Overlooked effects of temporal resolution choice on climate-proof spatial conservation plans for biodiversity",2021,"Biological Conservation","10.1016/j.biocon.2021.109330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115372435&doi=10.1016%2fj.biocon.2021.109330&partnerID=40&md5=34dac6a940ae5a63fecef55a6a0cf3f7","Area prioritization; Bocage landscape; Climate change; Connectivity; Cost-effectiveness; Protected areas","biodiversity; conservation planning; environmental conditions; environmental response; global change; persistence; prioritization; protected area; spatial resolution; species conservation; temporal analysis; vertebrate; France; Vertebrata","Article","Scopus",1,0
228,"Local","France","French Polynesia","Marine","All","Contemporary only","Management action","case study","Marxan*","Ecosys. Services / NCP",1,"Costs","None","yes","yes","André L.V., Van Wynsberge S., Chinain M., Gatti C.M.I., Dempsey A., Andréfouët S.","A framework for mapping local knowledge on ciguatera and artisanal fisheries to inform systematic conservation planning",2021,"ICES Journal of Marine Science","10.1093/icesjms/fsab016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101022872&doi=10.1093%2ficesjms%2ffsab016&partnerID=40&md5=4ee8bcfaa12bb77016b1efa130fb0f59","French Polynesia; marine biotoxins; marine-protected area; Marxan; Raivavae Island; small-scale fisheries","artisanal fishery; benthos; conservation planning; dinoflagellate; fishing gear; food web; habitat conservation; livelihood; mapping method; marine ecosystem; prioritization; spatial planning; traditional knowledge; Austral Islands; Pacific Ocean; Raivavae; Dinophyceae; Martes","Article","Scopus",7,0
229,"Regional","Mediterranean",NA,"Marine","All","Contemporary only","Representation","None","Other","Species",441,"None","Functional","no","no","Assis J., Fragkopoulou E., Serrão E.A., Horta e Costa B., Gandra M., Abecasis D.","Weak biodiversity connectivity in the European network of no-take marine protected areas",2021,"Science of the Total Environment","10.1016/j.scitotenv.2021.145664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101024359&doi=10.1016%2fj.scitotenv.2021.145664&partnerID=40&md5=468eeacc245cbbf951c46fa8bb183ad5","Biodiversity conservation; Biophysical modelling; Connectivity; Marine biodiversity; Marine protected areas; Networks of marine protected areas","Biodiversity; Climate change; Ecology; Environmental protection; International cooperation; Marine biology; Natural resources management; Biodiversity conservation; Biophysical model; Connected networks; Ecological groups; European networks; Marine protected area; Marine resource management; Species ranges; Conservation; biodiversity; marine environment; protected area; resource management; species diversity; species richness; article; climate change; conservation biology; ecology; ecosystem; macroalga; nonhuman; physical model; propagule; seagrass; animal; Anthozoa; biodiversity; ecosystem; environmental protection; Europe; Anthozoa; Porifera; Animals; Anthozoa; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem","Article","Scopus",15,0
230,"National","Finland",NA,"Terrestrial","Wetlands","Contemporary only","Synergies/Tradeoffs","case study","Zonation","Multiple",91,"None","Structural","yes","yes","Nieminen E., Kareksela S., Halme P., Kotiaho J.S.","Quantifying trade-offs between ecological gains, economic costs, and landowners’ preferences in boreal mire protection",2021,"Ambio","10.1007/s13280-021-01530-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103666145&doi=10.1007%2fs13280-021-01530-0&partnerID=40&md5=3f2782d837da9cd8f02a85cab9d2a104","Conservation policy; Private land protection; Systematic conservation planning; Trade-off analysis; Voluntary conservation; Zonation","biodiversity; conservation planning; conservation status; cost analysis; decision making; ecological economics; landowner; landscape protection; mire; private sector; quantitative analysis; resource allocation; trade-off; Finland; attitude; biodiversity; cost; ecosystem; environmental protection; human; policy; Attitude; Biodiversity; Conservation of Natural Resources; Costs and Cost Analysis; Ecosystem; Humans; Policy","Article","Scopus",3,1
231,"Local","Finland","Kokemäenjoki basin","Terrestrial","Forest","Contemporary only","Synergies/Tradeoffs",NA,"Zonation","Multiple",3,"None","None","no","no","Forsius M., Kujala H., Minunno F., Holmberg M., Leikola N., Mikkonen N., Autio I., Paunu V.-V., Tanhuanpää T., Hurskainen P., Mäyrä J., Kivinen S., Keski-Saari S., Kosenius A.-K., Kuusela S., Virkkala R., Viinikka A., Vihervaara P., Akujärvi A., Bäck J., Karvosenoja N., Kumpula T., Kuzmin A., Mäkelä A., Moilanen A., Ollikainen M., Pekkonen M., Peltoniemi M., Poikolainen L., Rankinen K., Rasilo T., Tuominen S., Valkama J., Vanhala P., Heikkinen R.K.","Developing a spatially explicit modelling and evaluation framework for integrated carbon sequestration and biodiversity conservation: Application in southern Finland",2021,"Science of the Total Environment","10.1016/j.scitotenv.2021.145847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103087329&doi=10.1016%2fj.scitotenv.2021.145847&partnerID=40&md5=a9739a94cb30c2b86ddfccc757b2fcd5","Carbon neutrality; Economic incentives; Emissions; Forests; Greenhouse gases; Indicators; LTER; Prioritization; Remote sensing; Scenarios","Biodiversity; Carbon; Climate change; Climate models; Conservation; Cost effectiveness; Earth (planet); Ecosystems; Emission control; Forestry; Greenhouse gases; Indicators (instruments); Land use; Carbon neutralities; Economic incentive; Emission; Forest; Greenhouses gas; Long-term ecosystem research; Modelling framework; Prioritization; Remote-sensing; Scenario; Remote sensing; carbon; biodiversity; carbon emission; carbon sequestration; conservation; environmental policy; EOS; forest management; incentive; remote sensing; spatial analysis; vegetation mapping; Article; carbon footprint; carbon sequestration; climate change; conceptual framework; conservation biology; dynamics; economic aspect; environmental management; environmental monitoring; environmental parameters; environmental policy; Finland; forest management; forestry; measurement; remote sensing; statistical model; Finland","Article","Scopus",9,5
232,"Europe","Europe",NA,"Terrestrial","All","Contemporary only","Synergies/Tradeoffs","case study","Zonation","Multiple",800,"None","None","yes","no","O’Connor LMJ, Pollock LJ, Renaud J, Verhagen W, Verburg PH, Lavorel S, Maiorano L, Thuiller W.","Balancing conservation priorities for nature and for people in Europe.",2021,"Science","10.1126/science.abc4896",NA,NA,NA,"Article","Manual",16,0
233,"Local","Spain, Portugal","Tagus River Catchment","Cross-realm","Rivers, Estuary, Marine","Contemporary only","Priority places","EU Biodiversity Strategy, Habitats Directive","Marxan*","Species",96,"None","Structural","no","no","Hermoso, V., Vasconcelos, R.P., Henriques, S., Filipe, A.F., Carvalho, S.B.","Conservation planning across realms: enhancing connectivity for multi-realm species.",2021,"Journal of Applied Ecology","10.1111/1365-2664.13796","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2664.13796",NA,NA,"Article","Manual",9,0
234,"Regional","Mediterranean",NA,"Marine",NA,"Both","NA","case study","GIS overlay/ Ranking / Clustering","Species",71,"None","None","no","no","Kyprioti A, Almpanidou V, Chatzimentor A, Katsanevakis S, Mazaris AD","Is the current Mediterranean network of marine protected areas resilient to climate change?",2021,"Science of the Total Environment","10.1016/j.scitotenv.2021.148397","https://doi.org/10.1016/j.scitotenv.2021.148397",NA,NA,"Article","Manual",4,1
